longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,Localidad
-74.042027,4.7280978,4.0,4.0,115.0,12.0,4.0,2.0,0.0,6.0,4800000.0,USAQUEN
-74.0297433,4.6998065,5.0,1.0,20.0,4.0,1.0,0.0,370000.0,4.0,1600000.0,USAQUEN
-74.0694272,4.6195498,4.0,2.0,38.0,0.0,1.0,1.0,0.0,16.0,2350000.0,SANTA FE
-74.0501917,4.669158,6.0,4.0,280.0,12.0,3.0,5.0,2200000.0,2.0,13000000.0,CHAPINERO
-74.0268198,4.7017126,6.0,3.0,130.0,12.0,2.0,2.0,0.0,12.0,7300000.0,USAQUEN
-74.045426436371,4.6687347214805,6.0,3.0,275.0,31.0,3.0,3.0,2200000.0,5.0,7168000.0,CHAPINERO
-74.045858967139,4.661558989743,6.0,3.0,172.0,4.0,2.0,3.0,1987300.0,7.0,16000000.0,CHAPINERO
-74.0499702,4.7038563,5.0,3.0,99.0,23.0,2.0,2.0,0.0,6.0,6500000.0,USAQUEN
-74.0272257,4.7168167,6.0,5.0,343.0,23.0,4.0,1.0,2200000.0,0.0,19783956.0,USAQUEN
-74.057334,4.642335,5.0,2.0,116.0,23.0,2.0,2.0,727000.0,8.0,3973000.0,CHAPINERO
-74.0928549,4.6316248,4.0,1.0,19.0,0.0,1.0,0.0,0.0,9.0,2600000.0,TEUSAQUILLO
-74.0684572,4.6269084,3.0,1.0,24.5,4.0,1.0,0.0,0.0,2.0,1400000.0,SANTA FE
-74.0521843,4.6916796,6.0,5.0,193.0,12.0,3.0,3.0,0.0,5.0,10450000.0,USAQUEN
-74.1613743,4.6959975,3.0,1.0,46.0,0.0,3.0,0.0,0.0,0.0,1300000.0,FONTIBON
-74.0437596,4.7402539,4.0,2.0,60.0,23.0,3.0,1.0,0.0,1.0,2400000.0,USAQUEN
-74.0501238,4.6820661,5.0,2.0,68.0,12.0,2.0,1.0,0.0,3.0,3900000.0,CHAPINERO
-74.110252,4.5099617,2.0,2.0,50.0,4.0,3.0,0.0,0.0,7.0,750000.0,USME
-74.1538414,4.6876512,3.0,2.0,47.0,4.0,3.0,0.0,0.0,0.0,1250000.0,FONTIBON
-74.0251608,4.7413012,3.0,2.0,85.0,23.0,3.0,1.0,0.0,2.0,1850000.0,USAQUEN
-74.0327893,4.6971487,5.0,1.0,22.0,4.0,1.0,0.0,350000.0,0.0,2150000.0,USAQUEN
-74.046235021225,4.680325002261,6.0,2.0,60.0,23.0,1.0,1.0,0.0,2.0,5000000.0,CHAPINERO
-74.0252331,4.7518088,6.0,2.0,50.0,0.0,1.0,1.0,0.0,9.0,1930000.0,USAQUEN
-74.1249939,4.7242586,4.0,2.0,68.0,4.0,3.0,1.0,0.0,0.0,2100000.0,ENGATIVA
-74.0480566,4.6954628,6.0,2.0,60.0,4.0,1.0,1.0,0.0,2.0,4000000.0,USAQUEN
